"","Suburb","Rooms","Type","Price","Method","SellerG","Date","Distance","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount"
"3","Abbotsford",2,"h",1035000,"S","Biggin","4/02/2016",2.5,1,0,156,79,1900,"Yarra City Council",-37.8079,144.9934,"Northern Metropolitan","4019"
"5","Abbotsford",3,"h",1465000,"SP","Biggin","4/03/2017",2.5,2,0,134,150,1900,"Yarra City Council",-37.8093,144.9944,"Northern Metropolitan","4019"
"7","Abbotsford",4,"h",1600000,"VB","Nelson","4/06/2016",2.5,1,2,120,142,2014,"Yarra City Council",-37.8072,144.9941,"Northern Metropolitan","4019"
"12","Abbotsford",3,"h",1876000,"S","Nelson","7/05/2016",2.5,2,0,245,210,1910,"Yarra City Council",-37.8024,144.9993,"Northern Metropolitan","4019"
"15","Abbotsford",2,"h",1636000,"S","Nelson","8/10/2016",2.5,1,2,256,107,1890,"Yarra City Council",-37.806,144.9954,"Northern Metropolitan","4019"
"19","Abbotsford",2,"h",1097000,"S","Biggin","8/10/2016",2.5,1,2,220,75,1900,"Yarra City Council",-37.801,144.9989,"Northern Metropolitan","4019"
"25","Abbotsford",3,"h",1350000,"VB","Nelson","12/11/2016",2.5,2,2,214,190,2005,"Yarra City Council",-37.8085,144.9964,"Northern Metropolitan","4019"
"26","Abbotsford",2,"u",750000,"S","Biggin","12/11/2016",2.5,2,1,478,94,2009,"Yarra City Council",-37.8078,144.9965,"Northern Metropolitan","4019"
"31","Abbotsford",2,"h",1310000,"S","Jellis","15/10/2016",2.5,1,2,238,97,1890,"Yarra City Council",-37.809,144.9976,"Northern Metropolitan","4019"
"33","Abbotsford",3,"h",1200000,"S","Jellis","16/07/2016",2.5,2,1,113,110,1880,"Yarra City Council",-37.8056,144.993,"Northern Metropolitan","4019"
"36","Abbotsford",3,"h",1176500,"S","LITTLE","16/07/2016",2.5,1,1,138,105,1890,"Yarra City Council",-37.8021,144.9965,"Northern Metropolitan","4019"
"38","Abbotsford",2,"h",890000,"S","Biggin","17/09/2016",2.5,1,1,150,73,1985,"Yarra City Council",-37.8011,145.0004,"Northern Metropolitan","4019"
"39","Abbotsford",4,"h",1330000,"PI","Kay","18/03/2017",2.5,2,2,780,135,1900,"Yarra City Council",-37.8073,144.9952,"Northern Metropolitan","4019"
"43","Abbotsford",2,"u",5e+05,"S","Collins","18/06/2016",2.5,1,1,478,60,1970,"Yarra City Council",-37.8015,144.9972,"Northern Metropolitan","4019"
"44","Abbotsford",2,"h",1100000,"PI","Biggin","18/06/2016",2.5,2,1,124,135,2013,"Yarra City Council",-37.8079,144.9977,"Northern Metropolitan","4019"
"45","Abbotsford",2,"h",1315000,"S","Marshall","19/11/2016",2.5,1,0,147,85,1900,"Yarra City Council",-37.808,144.994,"Northern Metropolitan","4019"
"50","Abbotsford",3,"h",1447500,"PI","Nelson","22/08/2016",2.5,3,1,166,174,2012,"Yarra City Council",-37.8017,145.0001,"Northern Metropolitan","4019"
"52","Abbotsford",2,"h",1135000,"S","Nelson","22/08/2016",2.5,2,2,98,128,1920,"Yarra City Council",-37.8005,144.9952,"Northern Metropolitan","4019"
"57","Abbotsford",3,"h",1290000,"S","Biggin","25/02/2017",2.5,1,1,168,124,1950,"Yarra City Council",-37.8007,144.9958,"Northern Metropolitan","4019"
"58","Abbotsford",1,"u",470000,"S","Nelson","26/07/2016",2.5,1,1,478,50,2013,"Yarra City Council",-37.8055,144.9961,"Northern Metropolitan","4019"
"59","Abbotsford",2,"h",1180000,"S","Jellis","27/11/2016",2.5,1,0,162,91,1900,"Yarra City Council",-37.8016,144.9956,"Northern Metropolitan","4019"
"60","Abbotsford",3,"h",1195000,"SP","Jellis","27/11/2016",2.5,2,1,120,128,1998,"Yarra City Council",-37.8022,144.9954,"Northern Metropolitan","4019"
